    xMin     xMax 
    yMin     yMax 
    zMin     zMax 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
30.0000 30.0000 
-30.0000 -30.0000 
15.0000 15.0000 
